wavelength nm,irradiance W/m^2/nm
451.35,0.2178769533
451.719,0.2258857153
452.087,0.2345064207
452.456,0.2488696749
452.825,0.2559857271
453.193,0.2630502449
453.562,0.2648804695
453.93,0.2850552924
454.299,0.293341368
454.667,0.2972384471
455.035,0.3098759495
455.404,0.3073523213
455.772,0.3142760426
456.14,0.3369220719
456.508,0.3433583025
456.877,0.3393434687
457.245,0.3330191852
457.613,0.3425782935
457.981,0.3573776713
458.349,0.3621702466
458.717,0.3624195055
459.085,0.3578087372
459.452,0.3605012257
459.82,0.3568820307
460.188,0.338685321
460.556,0.3562465214
460.923,0.3471165824
461.291,0.3392211724
461.659,0.3347666668
462.026,0.3251577502
462.394,0.314696856
462.761,0.3117920338
463.128,0.3055605399
463.496,0.2922425423
463.863,0.280364449
464.23,0.2769447694
464.598,0.2722886822
464.965,0.2583423989
465.332,0.2550948707
465.699,0.2375180769
466.066,0.2330065896
466.433,0.220334162
466.8,0.2130005554
467.167,0.20747935
467.534,0.200316316
467.901,0.1940046243
468.268,0.1849107519
468.635,0.1812812679
469.001,0.1713852725
469.368,0.1672888415
469.735,0.1646208045
470.101,0.1597644105
470.468,0.1509660148
470.834,0.1450156867
471.201,0.145129703
471.567,0.1419896399
471.934,0.1370680539
472.3,0.1274078238
472.666,0.1268830601
473.032,0.12298315
473.399,0.1226921699
473.765,0.1195062917
474.131,0.1137639448
474.497,0.1111589955
474.863,0.105990881
475.229,0.1092410359
475.595,0.1040087164
475.961,0.1029529422
476.327,0.0991602433
476.693,0.0943522259
477.058,0.0927372418
477.424,0.0878438895
477.79,0.082576953
478.156,0.0832600973
478.521,0.0810252779
478.887,0.0779668559
479.252,0.0779942683
479.618,0.0706314954
479.983,0.0695760038
480.348,0.0683106593
480.714,0.0641311339
481.079,0.0589666022
481.444,0.0610855693
481.81,0.0576652666
482.175,0.055827239
482.54,0.0536606957
482.905,0.0520149266
483.27,0.0542081293
483.635,0.0491773223
484,0.0469215543
484.365,0.0456354019
484.73,0.0453012272
485.095,0.0427646349
485.459,0.0398615459
485.824,0.0387861213
486.189,0.0368954271
486.553,0.037268838
486.918,0.0366615336
487.283,0.0351630231
487.647,0.0347844807
488.012,0.0322321322
488.376,0.0345265398
488.74,0.0324188295
489.105,0.030588896
489.469,0.0306891488
489.833,0.026725248
490.198,0.0283877977
490.562,0.0274386866
490.926,0.0278146184
491.29,0.0246953693
491.654,0.0271139021
492.018,0.0243876095
492.382,0.023544095
492.746,0.0227360844
493.11,0.0230087957
493.474,0.0206468352
493.837,0.0204243968
494.201,0.0209304513
494.565,0.0198575216
494.928,0.0193882117
495.292,0.0192967815
495.656,0.0197867048
496.019,0.018784756
496.383,0.0171109242
496.746,0.0169367929
497.109,0.0171633945
497.473,0.0161853948
497.836,0.0154013567
498.199,0.0164036936
498.563,0.0143410876
498.926,0.0142698144
499.289,0.0132908719
499.652,0.0142874199
500.015,0.013603719
500.378,0.0132149845
500.741,0.0129807661
501.104,0.0120434195
501.467,0.0124601589
501.829,0.0121189465
502.192,0.0108342602
502.555,0.0120885754
502.918,0.011167547
503.28,0.0117303235
503.643,0.0104201729
504.005,0.0112034058
504.368,0.0111172599
504.73,0.0103480668
505.093,0.0098301786
505.455,0.0106862657
505.817,0.0100623318
506.18,0.0107988653
506.542,0.0084905673
506.904,0.0095127711
507.266,0.0078592912
507.628,0.0082383297
507.991,0.0096149435
508.353,0.0081766623
508.715,0.0080928172
509.076,0.0093334822
509.438,0.0081152218
509.8,0.0076444094
510.162,0.0081281845
510.524,0.008928432
510.885,0.0087109236
511.247,0.0080275926
511.609,0.0085477142
511.97,0.0085721917
512.332,0.0075071499
512.693,0.0074625271
513.055,0.0077320054
513.416,0.0087712782
513.778,0.0082720181
514.139,0.007880446
514.5,0.0068976422
514.861,0.00695698
515.223,0.0073280997
515.584,0.0067964009
515.945,0.0072732704
516.306,0.0073289955
516.667,0.0076313684
517.028,0.0085199626
517.389,0.0071923422
517.75,0.0070766433
518.11,0.006827815
518.471,0.0065077246
518.832,0.0063276088
519.193,0.0073839055
519.553,0.0065527099
519.914,0.0061683349
520.274,0.0064050242
520.635,0.0063928781
520.995,0.007166968
521.356,0.0071619819
521.716,0.0068495641
522.076,0.0068054105
522.437,0.0065917317
522.797,0.0065775895
523.157,0.0073737737
523.517,0.0061832192
523.877,0.0064436034
524.238,0.0067338964
524.598,0.0066608535
524.958,0.0059791947
525.317,0.0062399191
525.677,0.0070949462
526.037,0.0060538413
526.397,0.0050822521
526.757,0.0058782163
527.116,0.0069357594
527.476,0.0066284051
527.836,0.0062909287
528.195,0.0065509166
528.555,0.0058789568
528.914,0.0062074061
529.274,0.0055728114
529.633,0.0059306549
529.993,0.0057934046
530.352,0.0044021966
530.711,0.0066714149
531.07,0.0063070869
531.429,0.0058113581
531.789,0.0050183084
532.148,0.0062971135
532.507,0.0058026882
532.866,0.005800825
533.225,0.0057661509
533.584,0.0061580425
533.942,0.0054657471
534.301,0.0061560802
534.66,0.00595795
535.019,0.0061882978
535.377,0.0055949758
535.736,0.0060522507
536.095,0.0055277765
536.453,0.0058886073
536.812,0.0053647103
537.17,0.0053958634
537.528,0.0064103728
537.887,0.0058239873
538.245,0.0064452759
538.603,0.006052328
538.962,0.0066072993
539.32,0.0064416076
539.678,0.0054962239
540.036,0.0058235492
540.394,0.0071366119
540.752,0.0071333763
541.11,0.0075283655
541.468,0.0079521864
541.826,0.0078500153
542.184,0.007659648
542.541,0.0078544612
542.899,0.0073331759
543.257,0.0065814274
543.614,0.0076337202
543.972,0.0059592692
544.33,0.0068448679
544.687,0.0070460051
545.045,0.0081934076
545.402,0.0087219592
545.759,0.0087900333
546.117,0.0087192091
546.474,0.0073105505
546.831,0.0081951348
547.188,0.0067482195
547.546,0.0065126609
547.903,0.0063489471
548.26,0.0059246871
548.617,0.0062846847
548.974,0.0064791581
549.331,0.0057242064
549.687,0.0057573295
550.044,0.0055569324
550.401,0.006567984
550.758,0.006075965
551.114,0.0066966494
551.471,0.0050599434
551.828,0.0062675733
552.184,0.0054147106
552.541,0.0057399859
552.897,0.0060672006
553.254,0.0057745067
553.61,0.0048571463
553.966,0.0051536304
554.323,0.0051861537
554.679,0.0060002275
555.035,0.0064578857
555.391,0.0058008858
555.747,0.0059308834
556.103,0.0048536869
556.459,0.0060272331
556.815,0.0063197314
557.171,0.0054689303
557.527,0.0044873447
557.883,0.004614718
558.239,0.0058509436
558.594,0.004677364
558.95,0.0049688233
559.306,0.0048052653
