wavelength nm,irradiance W/m^2/nm
451.35,0.0093700865
451.719,0.0121024748
452.087,0.0094225299
452.456,0.0093871379
452.825,0.0104188169
453.193,0.0100436214
453.562,0.0105534816
453.93,0.0082321876
454.299,0.0108446274
454.667,0.0108000638
455.035,0.0098821822
455.404,0.0113586956
455.772,0.0102298859
456.14,0.009053443
456.508,0.0106521217
456.877,0.0089179158
457.245,0.0100280291
457.613,0.0105464465
457.981,0.0110493856
458.349,0.0098092189
458.717,0.0093059517
459.085,0.0108103969
459.452,0.0086488518
459.82,0.0096767129
460.188,0.0115506763
460.556,0.0111417674
460.923,0.0092850142
461.291,0.0113579212
461.659,0.0102847807
462.026,0.0102472275
462.394,0.0111947942
462.761,0.0103933893
463.128,0.009972901
463.496,0.0104759966
463.863,0.0096866712
464.23,0.0085148553
464.598,0.010658684
464.965,0.009780969
465.332,0.0078494389
465.699,0.0106039111
466.066,0.0116594508
466.433,0.0099125999
466.8,0.010063875
467.167,0.0093403156
467.534,0.009419086
467.901,0.0098017037
468.268,0.0099882673
468.635,0.008593262
469.001,0.0112340463
469.368,0.0117121709
469.735,0.0100833602
470.101,0.0093099921
470.468,0.01039278
470.834,0.0112848174
471.201,0.0103963212
471.567,0.0092269152
471.934,0.0105637766
472.3,0.0109736087
472.666,0.0103333423
473.032,0.0105528743
473.399,0.0100250583
473.765,0.0111986963
474.131,0.0113352177
474.497,0.0102982572
474.863,0.0090661306
475.229,0.0119436437
475.595,0.0107133414
475.961,0.0112777843
476.327,0.0089865963
476.693,0.0101898034
477.058,0.0093241645
477.424,0.011074124
477.79,0.0097373852
478.156,0.0111086875
478.521,0.0091893528
478.887,0.0108334299
479.252,0.0082379779
479.618,0.0099467391
479.983,0.0102754321
480.348,0.0110766432
480.714,0.0101719207
481.079,0.0112788799
481.444,0.0104202231
481.81,0.0118498728
482.175,0.0113200715
482.54,0.0121947793
482.905,0.0103798909
483.27,0.0120328472
483.635,0.0112274047
484,0.0119760017
484.365,0.0129247507
484.73,0.0114343637
485.095,0.01262051
485.459,0.0132182519
485.824,0.0132924285
486.189,0.0136596123
486.553,0.014285139
486.918,0.0137752809
487.283,0.0142742309
487.647,0.0151730095
488.012,0.0154865864
488.376,0.0158763531
488.74,0.0172856043
489.105,0.0178100335
489.469,0.0174839206
489.833,0.016455954
490.198,0.019254018
490.562,0.0194580023
490.926,0.0195571786
491.29,0.0196428112
491.654,0.0214605064
492.018,0.0202033203
492.382,0.0214024819
492.746,0.020911354
493.11,0.0229701987
493.474,0.0220704555
493.837,0.0241824314
494.201,0.0259374003
494.565,0.0267859444
494.928,0.0263367429
495.292,0.0281192613
495.656,0.0282511924
496.019,0.029521591
496.383,0.0307057351
496.746,0.0325779918
497.109,0.0321001994
497.473,0.0332786469
497.836,0.0337882845
498.199,0.0349336979
498.563,0.0392031166
498.926,0.0399953021
499.289,0.0415218176
499.652,0.042007334
500.015,0.0457938982
500.378,0.0427872234
500.741,0.0472787337
501.104,0.0494572732
501.467,0.0494438854
501.829,0.0512857447
502.192,0.0535704405
502.555,0.056608725
502.918,0.0591229443
503.28,0.0585610776
503.643,0.0631682111
504.005,0.0628740346
504.368,0.0665180678
504.73,0.0669580709
505.093,0.0706595293
505.455,0.0723274037
505.817,0.0755910095
506.18,0.075960519
506.542,0.0778501738
506.904,0.0840032905
507.266,0.0847258779
507.628,0.0882543513
507.991,0.0897078651
508.353,0.0945284997
508.715,0.0976513793
509.076,0.0982885007
509.438,0.1003689348
509.8,0.1018064796
510.162,0.1063925797
510.524,0.1067924701
510.885,0.1054183264
511.247,0.1115705935
511.609,0.1115255141
511.97,0.1132510276
512.332,0.1155678318
512.693,0.1202641042
513.055,0.1232793224
513.416,0.121253108
513.778,0.1229698809
514.139,0.1248526243
514.5,0.1275202527
514.861,0.1254129415
515.223,0.12784891
515.584,0.1277337335
515.945,0.1263521576
516.306,0.1271198692
516.667,0.1311524815
517.028,0.1285678574
517.389,0.1291645096
517.75,0.1308690941
518.11,0.127038132
518.471,0.1274472616
518.832,0.1257335061
519.193,0.1238835027
519.553,0.122407812
519.914,0.1227221128
520.274,0.1200495728
520.635,0.1194129781
520.995,0.1196614542
521.356,0.1176399942
521.716,0.1162058073
522.076,0.1149462086
522.437,0.1138883069
522.797,0.1093855803
523.157,0.1107499644
523.517,0.108245406
523.877,0.1050697653
524.238,0.1035010848
524.598,0.0999542802
524.958,0.0971934371
525.317,0.0977537031
525.677,0.0927177289
526.037,0.0917829535
526.397,0.0927253765
526.757,0.08831497
527.116,0.0876879391
527.476,0.0885101905
527.836,0.0830260381
528.195,0.0816309134
528.555,0.0828977179
528.914,0.0793572285
529.274,0.0782804651
529.633,0.077114609
529.993,0.0745389173
530.352,0.0748046915
530.711,0.074924284
531.07,0.0732211107
531.429,0.0710567105
531.789,0.0691674263
532.148,0.0693919055
532.507,0.0669426907
532.866,0.0662314217
533.225,0.0639447243
533.584,0.0654335321
533.942,0.0626409406
534.301,0.0593426562
534.66,0.0611666219
535.019,0.0585156897
535.377,0.057929421
535.736,0.0561418693
536.095,0.0557496617
536.453,0.0547675483
536.812,0.0536271566
537.17,0.0552487708
537.528,0.0510087767
537.887,0.0525474567
538.245,0.0521076332
538.603,0.0496846658
538.962,0.0499627751
539.32,0.0484414068
539.678,0.0483843658
540.036,0.0468388348
540.394,0.0449141364
540.752,0.0443366205
541.11,0.0452318784
541.468,0.0441693498
541.826,0.0431978516
542.184,0.0434294167
542.541,0.0425667771
542.899,0.0399287239
543.257,0.0386317375
543.614,0.0389725612
543.972,0.0369001186
544.33,0.038046563
544.687,0.036395542
545.045,0.0371100801
545.402,0.0372232705
545.759,0.0372665019
546.117,0.0358328535
546.474,0.0328584493
546.831,0.032226349
547.188,0.0310009802
547.546,0.0302843156
547.903,0.0285803018
