wavelength nm,white irradiance W / m^2 / nm
451.35,0.0308552351
451.719,0.0315948577
452.087,0.0287303782
452.456,0.0315028237
452.825,0.0326279273
453.193,0.0334570442
453.562,0.0333003214
453.93,0.03618595
454.299,0.0421279573
454.667,0.0414031153
455.035,0.0423457148
455.404,0.0433042325
455.772,0.0447445258
456.14,0.0482236997
456.508,0.0470928118
456.877,0.0494207194
457.245,0.0511062506
457.613,0.0526185644
457.981,0.0541934211
458.349,0.0566265823
458.717,0.0578815911
459.085,0.0597235259
459.452,0.0633279908
459.82,0.0635830282
460.188,0.0670472881
460.556,0.0695225857
460.923,0.0686702248
461.291,0.0705466164
461.659,0.0700402922
462.026,0.0709547954
462.394,0.0735043913
462.761,0.0730808892
463.128,0.0731028194
463.496,0.0732076603
463.863,0.0703183359
464.23,0.0712926105
464.598,0.0724400326
464.965,0.0731190982
465.332,0.0683472917
465.699,0.0664509384
466.066,0.0622322484
466.433,0.0629150113
466.8,0.0575439898
467.167,0.0598310368
467.534,0.0587311984
467.901,0.0556400785
468.268,0.0549358412
468.635,0.0536174739
469.001,0.0515646793
469.368,0.0470865339
469.735,0.0476687547
470.101,0.0473460387
470.468,0.0457331233
470.834,0.0447211719
471.201,0.041993881
471.567,0.0394797068
471.934,0.0381220152
472.3,0.0363676961
472.666,0.0374753717
473.032,0.0346628737
473.399,0.033682961
473.765,0.0323308662
474.131,0.0332537884
474.497,0.0319247314
474.863,0.031689967
475.229,0.0328023762
475.595,0.0285381154
475.961,0.0314965576
476.327,0.0283223575
476.693,0.0279009059
477.058,0.0277398547
477.424,0.0278869591
477.79,0.0261436282
478.156,0.0260215049
478.521,0.0259178569
478.887,0.0256639138
479.252,0.0242915715
479.618,0.0258522934
479.983,0.0244018444
480.348,0.0233841995
480.714,0.0255450473
481.079,0.0235764923
481.444,0.0239474066
481.81,0.021817344
482.175,0.0222741574
482.54,0.0210551042
482.905,0.01975649
483.27,0.0194187211
483.635,0.0186094375
484,0.0191094127
484.365,0.0176913458
484.73,0.0195613065
485.095,0.0185356669
485.459,0.0173894827
485.824,0.0166978778
486.189,0.0173385156
486.553,0.0157241816
486.918,0.0161363242
487.283,0.0182172633
487.647,0.0153320423
488.012,0.0162662762
488.376,0.0140159622
488.74,0.016705243
489.105,0.0160525259
489.469,0.0145597612
489.833,0.0149986468
490.198,0.0138783677
490.562,0.0148615769
490.926,0.0142695829
491.29,0.0148986134
491.654,0.01415073
492.018,0.0148383298
492.382,0.0155151247
492.746,0.0142653061
493.11,0.0145417332
493.474,0.0155609267
493.837,0.015010355
494.201,0.015954607
494.565,0.0146730909
494.928,0.0142932646
495.292,0.0166013585
495.656,0.0163787737
496.019,0.0145583225
496.383,0.014061881
496.746,0.0160318068
497.109,0.0172310948
497.473,0.0166998623
497.836,0.0182546348
498.199,0.0180644586
498.563,0.0171828329
498.926,0.0184705799
499.289,0.0182962376
499.652,0.0180671927
500.015,0.0197999451
500.378,0.0184849746
500.741,0.0199286068
501.104,0.0214996294
501.467,0.0213527992
501.829,0.0212570734
502.192,0.0212019992
502.555,0.0220397128
502.918,0.0241205911
503.28,0.0243736399
503.643,0.0249045225
504.005,0.0237886505
504.368,0.0261442555
504.73,0.0269489301
505.093,0.0274197017
505.455,0.0291611317
505.817,0.0292355058
506.18,0.0312314391
506.542,0.0314123378
506.904,0.0333931725
507.266,0.034369495
507.628,0.033593745
507.991,0.0331083691
508.353,0.0363011096
508.715,0.0385552931
509.076,0.0393931769
509.438,0.0412616847
509.8,0.0432676146
510.162,0.0430947085
510.524,0.0449713659
510.885,0.0477687042
511.247,0.0474491692
511.609,0.0467306837
511.97,0.0487833831
512.332,0.0516034436
512.693,0.0532925335
513.055,0.0534958592
513.416,0.0539464349
513.778,0.0559833365
514.139,0.0555499539
